Gender,Age,Weight,Duration,Heart_Rate,Body_Temp,Calories_Burnt
Female,58,61.5,12.3,108.0,37.1,76.6
Male,29,92.0,25.2,122.0,38.1,270.3
Female,42,57.5,28.0,124.0,38.7,206.0
Male,19,87.2,24.8,120.0,38.4,245.1
Female,46,66.9,27.8,124.0,38.6,192.2
Male,20,69.4,7.3,88.0,37.6,48.2
Female,33,68.6,23.5,120.0,37.8,189.6
Female,31,68.4,26.7,108.0,38.0,147.9
Female,25,73.9,16.9,108.0,36.9,95.6
Female,40,49.1,7.0,83.0,37.0,25.0
Female,30,64.2,18.6,108.0,37.9,94.1
Female,21,51.8,11.1,106.0,37.0,85.3
Female,48,66.4,5.8,91.0,36.6,17.5
Male,25,68.0,28.4,121.0,37.8,275.4
Male,31,68.3,25.8,125.0,38.2,267.9
Female,31,63.5,20.9,112.0,38.2,127.3
Female,47,78.1,23.7,115.0,38.7,139.5
Male,48,84.4,21.8,112.0,38.3,226.6
Male,39,89.9,16.6,120.0,37.4,169.2
Female,21,78.2,8.0,101.0,36.7,30.7
Male,36,71.8,12.2,106.0,37.6,114.1
Male,47,79.6,17.7,100.0,38.0,129.0
Female,58,59.9,19.6,117.0,37.4,126.7
Female,58,61.4,12.5,92.0,37.2,68.6
Female,24,76.5,8.2,100.0,37.2,37.6
Male,28,90.1,13.6,95.0,37.5,105.6
Female,38,50.8,9.6,114.0,37.5,35.5
Female,28,88.9,28.3,111.0,38.2,138.1
Male,24,75.7,10.5,109.0,37.8,69.4
Male,27,89.9,14.9,112.0,37.7,122.3
Male,57,73.9,18.5,96.0,37.9,145.4
Female,47,88.4,11.3,98.0,38.0,57.2
Male,38,92.6,17.4,120.0,37.5,176.7
Female,41,59.4,18.8,120.0,37.6,116.6
Female,31,65.5,6.2,80.0,37.3,10.0
Male,41,77.9,28.7,121.0,38.7,307.6
Male,25,84.6,18.4,101.0,37.7,118.6
Female,20,63.0,8.7,88.0,37.6,53.6
Male,42,79.7,29.6,121.0,38.1,329.8
Female,41,67.7,9.2,112.0,37.8,49.3
Male,34,60.4,23.2,118.0,37.8,206.1
Female,37,77.3,17.1,107.0,37.9,111.9
Male,23,79.8,11.4,98.0,37.6,101.6
Female,53,73.0,14.5,110.0,37.8,76.0
Female,19,48.2,17.0,114.0,38.2,109.8
Male,38,64.7,14.3,97.0,37.8,106.6
Female,34,55.9,11.2,112.0,37.4,53.4
Male,50,76.0,15.4,97.0,37.8,108.5
Male,42,66.8,15.9,105.0,37.1,141.7
Male,25,80.6,22.2,119.0,38.3,209.8
Male,39,96.7,9.9,112.0,38.4,96.1
Female,43,64.8,6.1,90.0,37.4,10.0
Male,55,92.0,25.8,123.0,38.3,311.1
Male,39,81.2,6.7,104.0,37.4,63.9
Female,56,42.9,20.8,119.0,38.2,147.2
Male,32,75.2,18.7,120.0,37.8,172.4
Male,57,67.2,29.4,134.0,38.6,374.3
Male,57,86.4,9.7,100.0,37.3,106.6
Male,51,65.3,27.2,128.0,38.1,320.5
Female,53,72.7,8.3,103.0,37.5,34.0
Male,38,84.4,9.3,97.0,37.4,70.0
Female,57,71.6,21.3,127.0,37.5,166.3
Female,39,54.8,9.1,81.0,37.8,27.3
Male,42,95.1,19.7,105.0,37.8,159.8
Female,34,62.2,21.9,127.0,37.6,166.3
Male,42,88.8,8.1,99.0,37.7,62.4
Male,34,58.2,24.8,114.0,38.0,219.3
Male,41,80.8,15.6,109.0,37.8,125.5
Female,19,59.3,29.2,134.0,38.6,246.2
Male,20,83.3,5.3,87.0,36.9,20.0
Male,51,58.3,7.0,100.0,36.5,29.5
Male,54,49.0,20.5,112.0,37.8,193.5
Male,28,82.4,11.4,100.0,37.6,75.7
Male,18,103.2,15.1,105.0,37.9,132.0
Male,19,71.4,27.7,132.0,38.1,304.1
Female,50,60.3,13.6,95.0,37.4,72.3
Male,37,79.2,6.3,90.0,37.3,50.9
Male,29,74.4,8.6,102.0,37.3,75.0
Female,48,64.5,18.9,101.0,37.6,99.8
Female,39,68.1,24.4,106.0,38.0,104.7
Male,36,64.4,23.9,123.0,37.8,222.9
Male,21,84.2,16.8,108.0,38.2,139.0
Male,33,81.8,11.0,99.0,37.2,68.1
Female,50,62.3,8.2,97.0,37.4,42.5
Female,45,73.3,10.6,92.0,37.3,39.5
Female,37,69.4,10.0,122.0,37.4,50.1
Female,24,62.5,27.7,115.0,38.3,152.4
Male,44,97.1,15.2,102.0,37.9,122.3
Female,18,69.1,7.9,84.0,37.7,10.0
Male,59,76.2,21.0,111.0,38.1,208.2
Female,42,76.8,16.4,120.0,37.7,112.8
Female,48,61.6,5.7,93.0,37.5,39.3
Male,40,81.6,29.5,131.0,37.9,353.7
Female,32,48.9,28.7,121.0,38.2,198.3
Female,54,63.9,11.6,115.0,37.8,93.5
Female,18,54.7,25.8,122.0,38.3,187.0
Female,35,54.4,16.4,97.0,37.3,76.1
Male,48,60.7,21.8,121.0,37.5,195.6
Male,51,90.4,21.3,111.0,38.4,207.7
Female,28,62.6,23.3,122.0,37.9,159.6
Male,18,79.6,16.0,108.0,37.2,117.1
Female,59,75.2,8.7,99.0,37.0,63.0
Male,19,76.0,25.1,121.0,38.1,242.1
Male,51,63.9,16.0,100.0,38.0,121.9
Female,43,50.5,16.1,95.0,37.6,59.3
Female,18,66.1,24.0,126.0,38.5,153.3
Female,27,60.0,22.1,114.0,38.0,123.9
Female,25,69.1,29.7,128.0,38.4,205.1
Female,20,65.9,14.7,101.0,37.9,60.1
Female,42,50.2,20.9,98.0,37.6,105.3
Female,23,45.6,7.1,84.0,37.3,25.1
Female,32,53.9,7.8,107.0,37.3,55.0
Male,33,83.8,11.4,94.0,37.2,58.6
Male,19,83.2,12.0,98.0,37.7,80.2
Female,32,68.1,16.2,95.0,37.3,64.2
Male,43,80.6,10.7,95.0,37.4,94.7
Male,41,73.9,28.4,121.0,38.0,297.3
Male,40,83.1,15.7,105.0,37.6,138.0
Male,55,76.9,14.6,104.0,37.4,118.8
Male,26,70.8,27.6,118.0,38.5,260.2
Male,33,77.7,24.9,115.0,38.0,240.2
Male,46,82.0,24.3,118.0,38.1,253.3
Male,25,102.9,27.9,126.0,38.7,327.3
Female,30,55.3,23.4,116.0,37.1,148.9
Male,42,81.4,12.6,116.0,37.3,135.7
Female,47,64.8,29.0,127.0,37.4,205.6
Female,18,63.3,5.7,94.0,37.2,31.1
Female,34,86.7,27.4,118.0,38.3,152.7
Female,34,61.4,15.5,114.0,37.9,116.9
Male,31,76.7,13.4,95.0,37.5,102.0
Male,31,104.8,16.9,95.0,37.3,124.0
Female,53,60.4,15.0,98.0,38.1,63.0
Female,34,69.3,26.5,126.0,38.3,217.9
Male,43,75.6,25.2,111.0,37.9,240.3
Male,20,50.9,23.7,128.0,37.8,232.4
Female,50,68.0,10.8,99.0,37.6,43.8
Female,41,64.6,16.0,95.0,37.4,63.2
Male,33,80.0,6.9,92.0,37.1,51.8
Male,44,63.7,23.6,132.0,38.2,287.9
Male,49,90.3,6.1,86.0,37.2,29.3
Female,49,72.3,14.9,95.0,37.3,74.1
Female,54,63.4,8.8,101.0,37.8,47.4
Male,58,94.0,26.3,132.0,37.9,356.6
Female,50,51.2,28.0,132.0,37.9,252.0
Female,32,77.6,12.2,99.0,37.6,45.8
Female,49,42.0,26.8,123.0,38.2,220.4
Female,45,60.8,9.5,100.0,37.4,38.6
Female,31,72.7,22.8,126.0,37.9,162.7
Female,36,65.4,11.3,117.0,37.6,51.4
Male,18,86.9,16.1,106.0,37.5,130.3
Male,27,79.0,20.3,123.0,37.5,193.4
Male,23,73.2,13.8,101.0,37.8,93.7
Female,55,53.7,9.9,103.0,37.1,23.5
Male,56,80.6,19.7,105.0,37.7,180.3
Male,49,57.2,24.8,113.0,38.2,230.7
Female,29,78.3,29.9,130.0,38.3,220.2
Male,57,73.6,13.1,96.0,38.3,113.4
Male,27,85.5,11.4,107.0,37.1,81.9
Female,52,58.7,6.9,90.0,37.0,45.8
Female,50,52.1,10.1,99.0,37.4,70.1
Male,56,74.6,5.6,92.0,37.6,24.3
Male,48,65.5,11.2,97.0,37.3,67.4
Male,23,93.2,23.1,118.0,37.5,227.8
Female,18,59.6,7.9,104.0,37.7,37.3
Female,18,52.4,21.2,139.0,37.9,187.0
Female,58,52.3,12.4,92.0,37.3,24.7
Female,26,61.8,10.7,102.0,37.7,56.6
